Symbol,Company Name,Series,Industry,ISIN Code
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,12-Apr-24,INE343G01021
BALPHARMA,Bal Pharma Limited,EQ,11-Nov-03,INE257A01026
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,02-Sep-16,INE412U01025
BALUFORGE,Balu Forge Industries Limited,EQ,16-Nov-22,INE00E101023
BANARBEADS,Banaras Beads Limited,EQ,27-Sep-06,INE071A01013
BANARISUG,Bannari Amman Sugars Limited,EQ,07-Apr-04,INE376G01013
BANCOINDIA,Banco Products (I) Limited,EQ,12-Jun-96,INE829A01014
BANDHANBNK,Bandhan Bank Limited,EQ,06-Dec-95,INE800A01015
BANG,Bang Overseas Limited,EQ,12-Apr-95,INE340A01012
BANKA,Banka BioLoo Limited,EQ,07-Feb-08,INE865C01022
BANKBARODA,Bank of Baroda,EQ,19-Apr-23,INE0N7W01012
BANKINDIA,Bank of India,EQ,26-Jul-10,INE416D01022
BANSALWIRE,Bansal Wire Industries Limited,EQ,17-Mar-06,INE350H01032
BANSWRAS,Banswara Syntex Limited,EQ,14-Jun-16,INE153T01027
BARBEQUE,Barbeque Nation Hospitality Limited,EQ,06-Feb-24,INE0NLT01010
BASF,BASF India Limited,EQ,12-Dec-02,INE233B01017
BASML,Bannari Amman Spinning Mills Limited,EQ,01-Nov-23,INE0KBH01020
BATAINDIA,Bata India Limited,EQ,15-Jun-00,INE472A01039
BAYERCROP,Bayer Cropscience Limited,EQ,22-Aug-11,INE338D01028
BBL,Bharat Bijlee Limited,EQ,26-Apr-95,INE032A01023
BBOX,Black Box Limited,EQ,22-Jul-20,INE02PY01013
BBTC,Bombay Burmah Trading Corporation Limited,EQ,25-May-18,INE666D01022
BBTCL,B&B Triplewall Containers Limited,EQ,12-May-03,INE323A01026
BCG,Brightcom Group Limited,EQ,13-Sep-95,INE029A01011
BCLIND,Bcl Industries Limited,EQ,14-Jun-95,INE110A01019
BDL,Bharat Dynamics Limited,EQ,31-Dec-07,INE791I01019
BEARDSELL,Beardsell Limited,EQ,05-Nov-98,INE216A01030
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,03-Feb-17,INE118H01025
BEDMUTHA,Bedmutha Industries Limited,EQ,28-Oct-20,INE032Z01020
BEL,Bharat Electronics Limited,EQ,27-Jul-95,INE594B01012
BELLACASA,Bella Casa Fashion & Retail Limited,EQ,24-Nov-99,INE836A01035
BELRISE,Belrise Industries Limited,EQ,15-Feb-23,INE0EEJ01023
BEML,BEML Limited,EQ,03-Jan-08,INE817H01014
BEPL,Bhansali Engineering Polymers Limited,EQ,28-Apr-14,INE295F01017
BERGEPAINT,Berger Paints (I) Limited,EQ,15-Apr-15,INE319B01014
BESTAGRO,Best Agrolife Limited,EQ,20-Jan-15,INE052I01032
BFINVEST,BF Investment Limited,EQ,09-May-22,INE278Y01022
BFUTILITIE,BF Utilities Limited,EQ,07-May-21,INE596I01012
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,23-Dec-02,INE476A01014
BHAGERIA,Bhageria Industries Limited,EQ,10-May-95,INE477A01020
BHANDARI,Bhandari Hosiery Exports Limited,EQ,12-Oct-10,INE068L01024
BHARATFORG,Bharat Forge Limited,EQ,25-Sep-17,INE264T01014
BHARATGEAR,Bharat Gears Limited,EQ,14-Feb-24,INE646H01017
BHARATRAS,Bharat Rasayan Limited,EQ,23-Jun-14,INE475E01026
BHARATSE,Bharat Seats Limited,EQ,16-Jan-17,INE707C01018
BHARATWIRE,Bharat Wire Ropes Limited,EQ,03-Apr-96,INE120A01034
BHARTIARTL,Bharti Airtel Limited,EQ,06-Oct-10,INE521J01018
BHARTIHEXA,Bharti Hexacom Limited,EQ,26-Dec-12,INE752H01013
BHEL,Bharat Heavy Electricals Limited,EQ,20-Aug-21,INE290S01011
BIGBLOC,Bigbloc Construction Limited,EQ,14-Jan-21,INE482D01024
BIKAJI,Bikaji Foods International Limited,EQ,14-Mar-14,INE172A01027
BIL,Bhartiya International Limited,EQ,03-Feb-15,INE652F01027
BILVYAPAR,BIL VYAPAR LIMITED,EQ,07-Jun-04,INE421D01022
BIOCON,Biocon Limited,EQ,30-Jun-17,INE736A01011
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,01-Feb-08,INE482A01020
BIRLACABLE,Birla Cable Limited,EQ,12-Jan-06,INE185H01016
BIRLACORPN,Birla Corporation Limited,EQ,06-Nov-23,INE0LMW01024
BIRLAMONEY,Aditya Birla Money Limited,EQ,10-May-95,INE485A01015
BIRLANU,BirlaNu Limited,EQ,21-Aug-07,INE483A01010
BLACKBUCK,BLACKBUCK LIMITED,EQ,04-Apr-18,INE660C01027
BLAL,BEML Land Assets Limited,EQ,05-Oct-07,INE320B01020
BLBLIMITED,BLB Limited,EQ,23-Mar-06,INE348B01021
BLISSGVS,Bliss GVS Pharma Limited,EQ,27-Jun-03,INE055A01016
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,02-Nov-07,INE739E01017
BLS,BLS International Services Limited,EQ,08-Feb-95,INE486A01021
BLSE,BLS E-Services Limited,EQ,29-Oct-10,INE180C01042
BLUEDART,Blue Dart Express Limited,EQ,01-Mar-95,INE067A01029
BLUEJET,Blue Jet Healthcare Limited,EQ,07-Feb-19,INE427F01016
BLUESTARCO,Blue Star Limited,EQ,14-Jun-95,INE085A01013
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,20-Nov-19,INE995D01025
BLUSPRING,Bluspring Enterprises Limited,EQ,01-Oct-20,INE03YM01018
BODALCHEM,Bodal Chemicals Limited,EQ,25-Apr-18,INE783X01023
